Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
CLARK,KIM B.,,A,"Clark:     ,     Kim       B. s.       Wheelwright,   Steven G.}   C'K'B.       Revolution der Ìroàuktentviicklung.   Spitzenleistungen   . . "
CLARE,GEORGE,5307,A,"Clare , George Clare , George . The London daily stock and share list A course of lectures. Iondon:0h.& E.Iayton 1898.	(V.105 p.) 447                     •                  S* "
CLAREN,JOACHIM,81583,A,"Clären,  Joachim	/V 6"" fj Clären,Joachim. Die Kapitalanlagen der privaten deutschen Lebenevereieherungsunternehmen. Unter besonderer Berücksich- tigung der wichtigsten Sonderprobleme. (Betriebswirtschaftliche Forschungen der Fakultät für Wirt- schaftswiss"
CLASON,W. E.,,A,"C 1 a a o n ,  W.E. s. Dictionary,Elsevier's, of automation "
CLASS,EDI,83516,A,"Class  .  Edi Class, Edi; Bischof terger, Satine.  Das Arbeitszeugnis und seine ""Geheimcodes"". Die rechtlichen Grundlagen, Stellenwert und Bedeutung für Arbeitnehmer und Arbeit- geber, Beispiele für Formulierung und Interpretation. ZUrich: Verlag des Schw"
CLASS,EDI,86850,A,"Class  ,  Edi Class, Edi; Mössinger, Rainer.   Die Kechte der Frau ira ArbeitaVerhältnis: Das Gleichatellungsgesetz, gleicher Lohn für gleichwertige Arbeit, sexuelle Belästigung, Schwangerschaft und Mutterschaft, Schutzvorschriften des Arbeitagesetzes, Fr"
CLASSIFICATION,,2597/F,A,"Classification Classification internationale des maladies et causée de décfes. Adaptée aux conditions suisses et utilisée dés 1969. (8e révision.) Berne:Bureau fédéral de statistique,1970. - 21 cm.129 p. "
CLASSIFICAZIONE,,2597/I,A,"Classificazione Classificazione internazionale delle malattie e cauae di morte. Adattata alle condizioni svizzere, (se Revisione). Berna:Ufficio federale di statistica,1973- - 21 cm. 131 p. "
CLAUDE,JAMES,83401,A,"Claude,  James Claude, James ; Ducoamun, Paul. Correspondance commer ciale française! Commerce, ""banque, assurance. 9e éditi on, (réimpression). Manuels d'enseignement commercial. Lausanne: (Editions) ïayot, (1991).       -22cm.272 p 3112o "
CLAUDER,ARNULF,,A,"Clauder , Arnulf s. Einführung in die Rechtsfragen der europäischen Integration. "
CLAUS,GOTTFRIED,328/34,A,"Claus,  Gottfried Claus, Gottfried.  Gedanken zu einer neuen Tarifstruk- tur in der Lebensversicherung aus auf sichts""behbrdlicher Sicht. Mannheimer Vorträge zur Versicherungswlssenschaf t; hrsg. im Institut für Versieherungswissenschaf t der Uni- versitä"
CLAUS,VOLKER,,A,Claus     «     Volker Duden Informatik. Ein Sachlexikon für Studium und Praxis.  Hrsg.vom Lektorat des B.I.-Wissensehafts- verlag unter Leitung von Hermann Engesser. Bearbei- tet von V'C*   ... 
CLAUSON,A C,7842,A,"ClaiiBon.A Clauson.A	C                           Tlie Companies Acts. A course of lectures. London : Charles and Edwin Layton 1899.	(VII,126 S.) 406                                                      ^                                         ff* "
