Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
BRUCK,E,1521,A,"Brück,   EBrück,E	Reichsgesetz über den Versicherungsvertragnebst dem zugehörigen Einführungsgesetz.  Vom 30.fiai 1908.7.*A.     <2Q.bis 23.Taue,>Gattentagsche Sammlung Deutscher Reichsgesetze. Nr.83.BerlinrW.de Gruyter & Co. 1932.         (VIII,563,56 S."
BRUCK,ERNST,7880/5,A,"Brück ,Ern.stBruck,E[rnst]. Das Interesse, ein Zentralbegriff der Ver-sicherung.(Schriftenreihe der Oesterreichisehen Gesellschaft für Versi cherungsfachwissen. Nr.2)Berlin:Spaeth & Linde 1931(S.1-18)1888(Prof.Dr..Hamburg)    j"
BRUCK,ERNST,1539,A,"Brück,  ErnstBrück, Ernst. Das Priva tversictierungerechtMannheim:J.Benelieimer 1930.	(35,819 S.)1771.                                                    A      (Prof .Dr.)               r/t"
BRUCK,ERNST,6071,,"ruck, Ernst	/# ?""fBrück,E[rnst]. .Reichsgesetz úfcer den Versicherungsvertragnebst dem zugehörigen Einfuhmngsgesetz vom 30.Mai 1908.6.*A. (l6.-19.Taue.}.Guttentagsche Sammlung Deutscher Reichsgesetze. Nr.8j-Berlin:Gruyter 1929-	(70S S.)1746               "
BRUCK,E,6109,A,"Brück   ,  EBrück, E        Sammlung der das prívate Versieherungsreclitbetreffenden Gesetze und Verordnungen.Textausgabe mit Verweisungen und Sachverzeichnis.München:G.H.Beck 1927-	(263 S.)1386.                                                    A       "
BRUCK,ERNST,70449,A,"Brück,     ErnstBrück, [Ernst]. Krieg und Versicherung. (Krieg und Volkswirtschaft, Heft 5. )	vBerlin:Leonhard Simion  1915-	O2 S.)"
BRUCK,E,1496,A,"B r u c k , EBrück tJE	und Th         Dörstling. Das Rechtdes Lebeneversicherungs-Vertrages.Sin Kommentar zu den Allgemeinen Versicherungstiedingungen derKapitalversicherung auf den Todesfall Lebensversicherung.2.*A.Mannheim:Deutsches l^ruok-u.Verlagehaus"
BRUCK,ERNST,1491,A,"Brück  , ErnstBrück, E[rnst] und TH      Dörstling. Das Reckt des Lebens-versicherungs-Vertragee. Ein Kommentar zu den AllgemeinenTodesfallvereicherungs-Be dingungen.Mannheim:J.Bensheimer 1924.	(XVII,320 S.)1164A604                                       ^"
BRUCK,E,6041,A,"Bruok.B	it 0 t-?Brück,E      und P     Hager. Reichageeetz über denVersicherungsvertrag, nebst dem zugehörigen Einführungs-geaetz vom 50.Mai 1906.5.*A.v.E.Brück.Guttentageche Sammlung deutscher Reichsgeeetze,Br.83.Berlin:W.de Gruyter & Co. 1926.      (Z,5"
BRUCK,ERNST,9151,A,"Brück, ErnstBrück, E[rnst] und P       Hager. Reícíisgesetz über denVersicherungsvertrag nebst dem zugehörigen EinführungsgesetzeVom 30. Mai 1908.4.*A.Berlin:W.de Gruyter 1920.	(538 S.)959                                                    ^^    (Dr. ,Pro"
BRUCKNER,A.,65,A,"Bruckner   ,   A.Bruckner,A. Neue Schweizer Biographie. Nouvelle BiographieSuisse. Nuova Biografia Svizzera. [Mit] Nachtrag 1941/42.Basel:Buchdr.z.Basler Berichthaus A.G.,(1938)- - 612 S.2485,   3635"
BRUDER,PETER,,A,"Bruder     ,     Peters.       Fringe  benefits  - ein Leitfaden.  Verfasser:  P'B1"
BRUDERER,GEORG,91150,A,"Bruderer,  Georg	' '    ^    <,Bruderer, Georg.   Die ehemaligen Sowjetrepubliken. EineDokumentation. SFD-Sehriftenreihe. Heft 2.Bern: Stiftung für Demokratie, (1992).	-21cm.•81 S.,Kart._"
BRUDERER,HANSPETER O.,1876,A,"Bruderer,      Hanspeter     o.	^f'ff e>Bruderer,Hanapeter  0.   Die  Namenpapiere.   Disa.   UniversitätZürich.Aarau:   Sauerländer,   1944.	(XII,150  S.)8428"
BRUECK,DIETRICH,,A,"B  r   U   c   k,      Dietrichs.     Was  gibt  es  Neues   in der  Medizin?"
BRUECKEN,,97271,A,"BrückenBrücken. Hausblatt der Schweizerischen Lebensversicherungeund Rentenanstalt, Niederlassung für Deutschland, München.[Heft] 1,1968-München  1968-"
BRUEDERLIN,HANS,,A,"Bruàerlin   .HansBruàerlin,H[ajns].    Politik uni Armee.  Eine zeitgemässeAnregung über dringliche Erfordernisse.[Basel 193-].	U6 S.)1942,3987.                                       ^^       (Dr.,   Oberst)"
BRUEDERLIN,PAUL,,A,"BrUderlin,Pauls.   Argus   international  de   la presse,   Genève/Zurich"
TIBERGHIEN,ALBERT,82457,A,"Tiberghien, AlbertTiberghien, Albert. Manuel de droit fiscal. 2e éditionBruxelles:Institut Fiscal et Financier,1967.    (444 p.)8954"
TIBERGHIEN,ALBERT,72020,A,"Tiberghien,  AlbertTiberghien, Albert. Manuel de droit fiscal[Mit Nachträgen]Bruxelles:Institut Fiscal et Financier 1955-   (471 S.)£K 3480	^ (Prof.Dr.)"
TICINO F 1986-1987,,93401,A,"Ticino/•    j<?e¿- s?¿?       9 3 if o /Ticino /Cantone   ;   Annuario/della Repubblica e  Cantone  delTicino.  Editore:   Cancelleria dello  Stato.Bellinzona,   Grassi  +  Co.,   1976  -  se¿>.	-2/cm15526"
TICINO / CANTONE,,1649/TI-1,A,"Ticino    /     CantoneTicino/Cantone:       legge di  applicazione  e  complemento delCodice civile svizzero (del 18 aprile 191l). Edizionesettembre 1988.[Bellinzona]: Centro di legislazione e di documentazione,([19]S9).	A -21cm.20 p.27166"
SCHOCH,J.    ULR,,A,"S c h o o h , J        UlrSclioch.J      Ulr        Gesetz betreffend die Brandrversicherungs-Anetalt für die Gebau.de im Kanton Zürich (vom25. Okt, 1885, abgeändert am 4. März 1894 u. 24. März 190l),2ürioh:Selbstverl.d.Verf. 1901.        (20 S.)"
SCHOCH,RUDOLF,5594,A,"Schoch, RudolfSchoch, Rudolf. Hundert Jahre Tonhalle Zürich. Festschriftzum hundertjährigen Bestehen der Tonhalle-GesellschaftZürich. Illustr.Zürich:Tonhalle-Gesellachaft, Atlantis Verlag,I960.(291 S.)"
SCHOEB,W.,,A,"S c h ö b   , WSchob,W	Ein Beitrag zur Theorie der Ausgleichsrech-nung.(Mitt»d.Ver.echweiz.Versicherungsmathematiker.  Heft 30)Bern:Stämpfli 1935-	(S.  53-127)W	(Dr.)"
SCHOEBERLE,HORST,,A,"Schöberle     ,     Horsts.       Handbuch  des Körperschaftateuerrechts   ...   Hrsg.vonFranz Klein,Konrad Laube,   H'Seh'."
SCHOEBI,CHRISTIAN,,A,"Schob!     ,     Christians.       Keller,   Mai}   S'Ch1.       Allgemeine Lehren  des Ver-tragsrechts   ..."
SCHOECK,HELMUT,4432,A,"Schoeck,  Helmut	¿*Schoeck,Helmut,   let Leistung unanständig?   (4.Auflage.Texte  und  Thesen.   Band  13.)Oanabrllck-.Verlag A.Fromm, (1972) .	-  21  era.   60  S."
SCHOEDER,LYNN,,A,"Schoeder     ,     L y n nB.       Ostrander,   Sheila and Nancy;   S'L1 .       Leichterlernen ohne Stress:   Super-learning   ..."
SCHOELER,WALTER,6484,,"-S chöler, WalterScholar,Walter ; Sehöler,Waltraut unter Mitarbei t vonGerhard Tulodziecki. Einführung in die Individualver-sicherung. Programmi ert von W'Sch1... 4 Hefte. (Herausgvom BerufsBildung3werk der Versicherungswirtschaft.)(Bad Homburg von der Hö"
SCHOEN,R.,,A,"S c h o o n , R.s. Kühne,Klaus; Brahms,Otto ; Seh'R. Die Prognose deressentiellen Hypertonie."
SCHOEN,ROBERT,,A,"Schoen , R o ""b e r ts. Preston,Samuel H.; Keyfitz,Nathan; Sch'R'. Causes ofdeath. Life tablea for national populations."
SCHOEN,RUDOLF,,A,"Schoen,     Rudolfs.  Hadorn,W(alter).  Vom Symptom  zur Diagnose"
SCHOENBAUM,EMIL,3728,A,"Schoenbaum,Bmil3?Z tScnoenbaum(Emil. Die Prämienreserven der Allgemeinen Pen-sionsanstalt.Autorisierte Uebers.a.MPojistny Obzor"" ffo.59 u.60.PragrVerl.d.Allgem.Pensionsanstalt 1927.      (62 S.)(Dr.,Prof.Prag.)A"
SCHOENBERG,GUSTAV VON,5204,A,"Schönberg,  Gustav    vonSchonterg,Gustav von. Handbuch der Politischen OekonomieBd I-III [in 5 Bänden].Tübingen:H.laupp 1896-1898."
SCHOENBUCHER,PAUL,70573,A,"S ch-önbucher , PaulSchönbucher,Paul. Enttäuschtes Volk. Oeffentliche Anklage derPrivaterwerbenden .Zürich¡Selbstverlag d.Verf.  1938.	(130 S.)1940,2746. jfSíMÍ                              ^*       (Techniker)"
SCHOENDUBE,CLAUS,,A,"Schöndube     ,     Clauss.      Buropa - Verträge und Gesetze.  Hrsg.  und einge-leitet  von G'S1    ..."
SCHOENENBERGER,ALPHONS,6636,A,"Schönenberger,   AlphonsScfaönenberger, Alphone. Die Begünstigungsklausel in derLebensversicherung nach schweizerischem Recht.Dies. Univ. Basel.Basel 1941.	(IV, 88 S.)G 11	W                                                         /f"
SCHOENENBERGER,,85897,A,"SchönenbergerSchönenberger, w[ilhelmj. Schweizerisches Obligationen-recht vom 30. März 1911. Textausgabe mit Einleitung, An-merkungen, Ausführungserlassen und Sachregister von V/'S'und Peter Gauch, unter Mitarbeit von Daniela Gmünder Perrig. 37. Auflage.Z"
SCHOENENBERGER,WILHELM,,A,"Scnönenberger  ,  WilhelmSchönenberger,   w[ilhelm].     Schweizerisches Obligationen-recht. Textausgabe mit Einleitung,¿nmertarngen,Axisfüiirung8-erlassen una Sachregister.   35.Auflage.   {Stand Ende Oktober1982).Zürich,   Schulthess Polygraphischer Ver"
SCHOENENBERGER,WILHELM,86794,A,"Schönenberger  ,  WilhelmSchönenberger, w[ilhelra].  Schweizerisches Zivilgesetz-buch vom 10. Dezember 1907. Textausgabe mit Anhängen,Querverweisen, Sachregister und Anmerkungen von W'S'und Peter Gauch, in Zusammenarbeit mit Daniela GmünderPerrig. 40. Auf"
SCHOENENBERGER: ZGB/OR  41. AUFL. FORTS.,,,A,Schönenberger : ZGB/OR   4 1 . Auf l .	Forts ./B
FREI,BENNO,83958,A,"Frei     ,     Benno'Frei, Benno. MWSt Mehrwertateuer. Mit Grafiken, Fall-beispielen und Vorschlägen für die Umsetzung im Unter-nehmen. Ein praxisnaiier Ratgeber.(Muri/Bern);   Cosmos Verlag  (AG,   1994).	-24cm.389  S.33066                               "
FREI,BERNHARD,12286,A,"Frei  .  Bernhardl?TQi, Bernhard. Der Persönlichkeitsschutz des Arbeit-nehmers nach OR Art.328 Atoa«l, unter besonderer Berück-sichtigung des Ferso&aldatensohutzes. (Diss.Univ.Bern).Zurich, Juris Druck + Verlag, 1982.      -23cm.IX,173 S.20187	™          "
FREI,ERWIN,,A,"Frei.  ErwinFrei,Erwin. Buchhaltung, Kalkulation und Statistik.(Das Rech-nungswesen kaufmännischer und industrieller Betriebe, erläu-tert an Beispielen, Uebungen und Aufgaben). Teil I: Waren-handel / 5.Stufe: Organisation der Buchhaltung im Groes-und Einz"
FREI,FELIX,,A,"Frei     ,     Felixs.        Organisation,   die  kompetente.   QualifizierendeArbeitsgestaltung   ...   (Autoren)i   F'F*"
FREI,HANSJOERG,ORD 259,A,"Frei  ,  HansjörgFrei, Hansjörg. Ueberlebensf änigkeit von Versicherungs-gesellschaften in deregulierten Märkten.Die Unternehmung. 47, 1993, H. 6, S. 465-476."
FREI,HANS-PETER,,,"rei  ,  Hans  -  PeterSIGIR 96: Proceedings of the 19th Inter-national ACM SIGIR Conference on Researchand Development in Information RetrievalAugust 18-22, 1996,Zurich. Ed. by H'-P'F1"
