Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
STUDIES,,81591,A,"Studies Studies in Ada style. By Peter Hibtard, Andy Hiagen [a.o.j New York,Heidelberg,Berlin, Springer-Verlag, (1981). ^^	-27cm.11,104 p. 19520 "
STUDIESERIE,,,A,"Studieserie (Studieserie,   fiscale,  nr.l2) "
STUDIUM,,,A,"Studium	'   > _____________________________/£_ Studium, wirtschaftswissenschaftliches = WiSt. Zeit- schrift für Ausbildung und Hochschulkontakt. Jg.l,1972 - München:Verlage C.H.Beck und Franz Vahlen,1972 - "
STUDY,,71508,A,"Study Study »occupational. 1937 . Compiled and pubi. by the Actuarial Society of America New York. Hew York:(Glote Printing Company,Inc.)   1938.     (95 S.) 1939,2734.	™ "
STUEBER,KARL,,,"3 t U to e r  ,  Karl s.  Festsschrift Walter Drack zu seinem 60.Geburtstag. "
STUECHELI,WERNER,,A,Stücheli   .Werner s.   Bau-Fach-Lexikon. 
STUEDELI,RUDOLF,91578,A,"StUdeli  ,  Rudolf StUdeli, Rudolf. Die materielle Enteignung und ihre Fol- gen.Gedanken zu den Möglichkeiten der Öffentlichen Hand. Bearbeitung des Berichtes:R'S'. Schriftenfolge [der] Schweizerischen Vereinigung für Landesplanung'""?!]?/,Wr ,22. Bern, Sc"
STUEMPER,FRANZ,,,"türaper   .Franz s.Gut,Altert,  F.St.[u.j Joseph Zormaier.Sammlung wichtiger Entscheidungen zum ïïoimungs- und Mietwesen. . .	(1925Ì. (Dr.) "
STUENDCHEN,,,A,"Stündchen Stündchentein, Aufklärung;  praktische Erörterung aller bei dem Abschluss  einer Lebensversicherung in Betracht kommenden Fragen. In Form eines  Zwiegesprächs. 20.-25.Taus. Berlin:Wallmann o.J.	(15 S.) "
STUERMER,ULRICH,,A,"Stürmer ,  Ulrica s.  EG-Produkthaftpflicht, neue: Vergleich USA ... Hew SEC product liability: The U.S. io comparison ... Von U'S' ... "
STUERNER,GUENTHER,,A,"S t u r n e r  ,  Günther Stürner, Günther.  Oracle 7. A user's guide and deve- loper's guide, including Release 7.1. Translated and adapted by George Staw and Patricia Staw. (Reprint). London: International Thomson Computer Press, (1995)- A         -24cm"
STUERNER,GUENTHER,86561,A,"Stürner     ,     GUnther Stürner,   Günther.       ORACLE  7.   Die  verteilte  semantiscïie Datenbank.   (3.,   erweiterte Auflage). (Weiasach/VVürtt.) :   dbrns  publishing,	(1993).               -24cm. A	111,426 S. 33562.3371o,                        "
STUESSI,F.,,A,"S t Ü S B 1 , F StÜasi.F       200 Jahre Euler'sche Knickfoncel (SA.a.d. Schweiz. Bauzeitung. 1944, Hr. 1). Zürich 1944.	(7 S.) "
