Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
UNIVERSITÉ,,91570,A,"U n i v ere ite  _____________________' '   / Université de Lausanne: Rapport annuel [de I1] Università de Lausanne, no.28,1975-1976. Lausanne, Imprimerie vaudoiae, 1977.  -21cm. 115 P. "
UNIVERSITÉ,,93138,A,"Université	*? 3 ? 3 <? Université de Lausanne - Ecole des hautes études commercia- les. Recueil de travaux publiés à l'occasion du cinquante- naire, juin 1961. Lausanne :Payot 1961.	(221 p.) G 654 "
UNIVERSITÉ,,93347,A,Université	f 3  3 Université  de  Neuchâtel.   Annales  1972-1973. 1973.]	~  23  cm*   225  p 
UNIVERSITEIT,,,A,U n i v e rei tei t_____    _______ _________ Univereiteit te Leuven. Instituut voor actuariele weten- schappen Instituut voor actuariele wetenschappen. 
UNIVERSITY PAPERS,,,A,"University      papers (University papers,   european) s. Hochschulsehriften, europäische "
UNIVERSITY,,,A,"University University  studies,   European s.       Hochschulschriften,   europäische "
UNIX        P,,,A,"UNIX UNIX als Basis für Softwareentwicklung. [Hrsg.von] T. Baggenstos, R. Marty ([u.a.], Springer Compass). Berlin,Heidelberg,New York,Tokyo, Springer-Verlag, (1986).	^           -25cm.X,199 S 24110	™ "
UNIX,,85911,A,"UNIX UNIX in a nutshell: Berkeley edition. A desktop quick re- ference. (Revised edition). A Nutshell handbook. (Newton.MA: O'Reilly & Associates, Inc., 1987).   -22cm. •	[306] p. «,„,«                             2 Expl. "
UNIX,,85910,A,"UNIX in a nutshell: System V edition. A desktop quick re- ference. (Revised edition). A Nutshell handbook. (Newton,MAi O'Reilly & Associates,	Inc., 1987).	-22cm. A	[289] p. 26912                    ™	2 Expl.	., "
UNIX,,86098,A,"UNIX UNIX in der Praxis. Erfahrungen von Anwendern. Hrsger: Peter Domann. Mit Beiträgen von Dieter Bentzen, Achim Born [u.a.]. (Online DY-Praxis). (Köln): Rudolf Muller (GmoH, 1990).       -21cm.144 S. 27952	™ "
UNIX,,83674,A,"UNIX UNIX power tools (by) Jerry Peek, Tim O'Reilly, Mike Loukides ([a.o.]- With CD-ROM disk). Sebastopol, CA: O'Reilly & Associates, Inc., (1993). •       -24cm.XLII,1129 p "
UNIX    E,,,A,"UNIX	*- UNIX systems Readings and applications. 2 vols. (Vol.I; UNIX time-sharing system. XIV,397 p.; vol.Hi The UNIX system. XII,324 p.). AT & T Bell Laboratories. Englewood Cliffs,N.J.,  Prentice-Hall,Inc.,	(1987).   -23cm. ^^	2  vols 25057             "
UNIX     E,,,A,"U  H   I   X UHIX System 7:  Programmer's  guide.  AT&T Englewood Cliffs,N.J.,  Prentice-Hall,Inc.,   (1987).   -24cm A	XIV,832 P 25057 "
UNIX SYSTEM,,,A,"UNII    system UNIX  System Y:   User's  guide.  2nd edition.  AT&T. Snglewood Cliffs,N.J.,  Prentice-Hall,   Inc.,   (1987). •-24cm.XVII(587 p -s-r —— "
UNIX      E,,,A,"U  H   I  X UNIX System V: User's reference manual. AT&T. Englewood Cliffs,N.J.,  Prentice-Hall,Inc.f	(1987).   -24cm. ^	VIII,535  p, 25057	^ "
UNKROTH,KAY,,A,"U n k r o t h  ,  Kay s.   Microsoft Exchange Server ... Praktisches Selbststudium zum Support von Version 5.0 und 5.5. ... K'U•. "
UNO,,,A,"UNO UNO Organisation der Vereinten Nationen a.  Schweiz / Gesetze und Verordnungen , "
UNSELD,DIETER WERNER,85089,A,"Unseld  ,  Dieter  Werner Unseld, Dieter Werner.   Medizinisches Wörterbuch deutsca-französisch/französiach-deutsch = Dictionnaire médical allemand-français/francais-allemand. Hrsg.von D'Ví'U', bearbeitet von Marie-Christine Balg und Georg Balg. Stuttgart"
UNSINN,,,A,"Unsinn Unsinn der Verstaatlichung der privaten Versicherung, (Finanz und Wirtschaft v. 19- Oktober 1945). Zürich 1945. "
UNTERHALTSHEFT,,83411/A,A,"Unterhaltsheft Unterhaltsheft für die periodische Gebäudezustandser- mittlung. ([Beiheft zu]: Gebäudeunterhalt. Handbuch fUr die Zustandsteurteilung. Autoren: Ernest Bornand, Char- ly Cornu [u.a.], Deutsche Bearbeitung; B. Frauchiger, A.FÖllmi [u.a.]. Imp"
