Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
MUELLER,JOSEF,,A,"Müller , Josef a. Schweizer Kunst in der Sammlung Josef Müller, "
MUELLER,KARL,1895,A,"Müller,     Karl Müller ,Karl. Die Rechtsstellung der Versicherten bei Pensionskasae- Vereinen. (Abhandlungen zum schweizeri- schen Recht, tfeue Folge, Heft 246.) Bern:   Stampili,   1948.	(VIII,96  S.) 7715 "
MUELLER,KLAUS,15008,,"Hüller     .Klaus	1 é> O O ? Müller,   Klaus.     Kommentar  zum Gesetz   betreffend  die Er werbs- und Wirtschaftsgenossenschaften. Bielefeld,   Verlag Ernst und Werner  Gieseking,   1976. ^       -24cm.   XXIV,1143 S. 15565	9       Band  I:   §§   1-42 "
MUELLER,KONRAD,94191,A,"Müller,Konrad	94*191 MUller,Konrad. Der Anspruch des Versicherungsagenten auf HachinkaesoprcvioB. Berlin (1936Ì.	(84 S.) (Rechtsanwalt) "
MUELLER,KONRAD,5102/7,A,"Müller, Konrad Müller, Konrad, Provisionsanspruch des Generalagenten nach Beendigung des Agenturverträge.  Vortrag... (SA.a.d. Versicherungs-Post, Nr. 11/12, vom 14. März 1929). Berlin:Wallraann 1929.	(12 S.) / "
MUELLER,KONSTANTIN,,A,"Müller,     Konstantin 's,        Keller, Rolf; M'K1 . Conlputerunterstutster Un terricht. Leitfaden zur Planung und Evaluation von CUU-Projekten ... "
MUELLER,KURT,1732,A,"Müller,     Kurt Müller, Kurt. Der Verwalter von Liegenschaften mit Stock- werkeigentum. (Abhandlungen zum schweizerischen Recht, Neue Folge, Heft 365.) Bern:   Stampili,   1965,	(XX,   210 S.) 7919 "
MUELLER,L A VON,,A,"Müller,L       A        von Müller,L       A      v[on]. Die. Krankenversicherung der Arbeiter. Abdruck des Reichegesetzes vom 15. Juni 1883, Ergänzungsheft zu Dr. v.Riedel's Kommentar zum Bayer. Gesetz über öffentliche Armen- und Krankenpflege vom 29. Ap"
MUELLER,MAURICE,,A,"Muller, Maurice Muller, Maurice.  Pascal: Les mathématiques, les probabili- tés et le pari, Festgabe Marchand, 5.155-16?. "
MUELLER,MAURICE,5125/5,A,"Muller,  Maurice	O^Zo / Muller,Maurice. Réflexions sur la politique de la morale. (SA.a.d. Jahrbuch der Schweiz.Philosoph.Gesellschaft, Bd.3, 1943). [Basel]¡Verlag f.Recht U.Gesellschaft 1943.    (19 S.) (Dr.) "
MUELLER,MAX,,A,"Müller,  Max s. Biedermann,H.; M'M.;Walther,H. Buchhaltungsaufgaben aus den kaufmännischen Lehrabschlussprüfungen.  1956 "
MUELLER,MIRKO,87847,A,"Müller/Mirko	O   f <3    ff Müller,   Mìrko.        _Das  Outlook  97  Buch.   (2.   Auflage). (Düsseldorf): SYBEX-(Verlag GmbH, 1997).         -25cm. ^^	XIV, 609 S. 37654	^ "
MUELLER,MIRKO,83914,A,"Müller     ,     Mirko Müller,   Mirko;   Schieb,   Jörg,     Windows  vertraulich.   [Mit] 3  Disketten. Düsseldorf:   Sytex-(Verlag  GnfbE,   1993).	-25cm. A	XXXIII,953 S. 32898	. "
MUELLER,MORITZ,2819,A,"Müller, Moritz Müller,Moritz. Die innere Verwaltung einer modernen Ver sicherungsgesellschaft. Nach einem Vortrag von M.M. Hannover:Reehte-,Staats-und Sozialwissenschaf tl. Verlag 1914 — ft	(71+XI S.) W / (Redakteur) "
MUELLER,NIKOLAUS E.,31035,A,"Müller,   Nikolaus     E.	af03 Müller,Nikolaus  E.   Einführung  in die  Mathematik  der PenalongVersicherung. München;(N,E.Müller,Alte Poststraase  6A,D-8011  Baldham,) 1973.	-  23  cm.   VIII,291   S.   Fig, 13116 "
MUELLER,NORBERT,6388,A,"Müller  ,  Norbert Müller, Norbert.  Telefongespräche mit Kunden richtig führen. 48 praktische Winke für Einzelhandels-und Gross- handelsreisende, Industrìevertreter,Verkaufsingenieure, Automobilverkaufer,VerSicherungsvertreter,Anlageberater, Bausparkasse"
MUELLER,O.,,A,"M U l 1 e r, 0. s. Einführungskurs in die dynamische Programmierung, "
MUELLER,OTHMAR,7851,A,"Müller,  Othmar	y2 Müller.Othraar.    S t. Gallisches Verwaltungs-ßecht.    Sammlung grundsätzlicher Entscheidungen aus dem Getiete des Staats- und Verwaltungsrechtes des Kantons St. Gallen aus den Jahren 1897-1908. Bd      II. St.Gallen:Buchdr.d.nOstschw"
MUELLER,OTTO,94756,A,"Müller,   Otto Müller,Otto.   Zur Erinnerung  an O'M',   Dr.iur.,   29.Mai   1909- 11.September   1967.   [Mit]   l   Portr.-Taf. (Winterthur  1967.)	(31  S.) "
MUELLER,OTTO HEINRICH,,A,"Müller,  Otto  Heinrich	« Müller, Otto Heinrich.   Haftpflichtversicherung unter Einbezug der Motorfahrzeug-, Schiffs- und Luftfahrzeug- Versicherung. Leitfäden für das Versicherungswesen« Zürich:	Verlag des	Schweizerischen Kaufmännischen Ver- handes,	(19"
MUELLER,P,70688,A,"M ü l 1 e r Müller,P Grundvermögen und Grundsteuer. Eine gemein- verständliche Darstellung über die Auswirkung des Grundeteu- ergeaetzes vom I.Dezember 1936 auf das Grundvermögen. München:Süddeutscher Zeitschriften-Verlag [193?]. (78 S.Ï, f^ ' (Generalsek"
MUELLER,PAUL,94299,A,"Müller,     Paul Mülle r, Paul. Ueber die Kreislaufswirkung verschiedener Nikotin-Körper, untersucht mit der Separatormethode . Di s s .Un i v. Zur i eh. Zürich 1941.	(91 S.) "
MUELLER,PAUL,1312,A,"Müller  ,  Paul Müller, Faul. Das Gegenseitigkeitsprinzip im Versicherungs- wesen,   besonders  in der Lebensversicherung. Beri in: Puttkammer & Mühlbrecht 1905.	(126 S.) A0f 1849	'   <Dr-> >7 "
MUELLER,PETER,,,"üller     ,     Peter s.       Handbuch,   aktuelles,   der  betrieblichen Aus- und Weiterbildung   ...  Ersger:   P'M1. "
MUELLER,PETER ADRIAN,84315,A,"Müller, Peter  Adrian Müller,Peter Adrian. Eine Minimalsteuer für juristische Personen, inabesondere unter Berücksichtigung finanz- und volkswirtschaftlicher Aspekte. Dias.Universität Bern, Bern:Schweizer Mobiliar,1974.  - 21 cm. XIII,241 S. 14396 "
MUELLER,P. H.,BV/52,A,"M ü l l e r , P. H.	/ Müller,P.H. Wahrscheinlichkeitsrechnung und mathemati sche Statistik. Lexikon. Berlin:Akademie-Verlag,1970.	-22cm. X,278 S 11572 "
MUELLER,R.,,A,"Mueller.R Muelier,ñ   ••	Finanzielle Kriegsbereitschaft der Pri- vatversicuerung.                                                                  : (Veröfentl.d.Deutsch.Ver.f.Vers.Wissenschaft. Seit ""26) Berlin 1914.	(S.  1-12) ™        (Dur.Dr.) "
MUELLER,RENÉ,,A,"Müller  , René MUÍ1er, René.  Der Bundesbeschluss über Massnahmen gegen Missbrauche im Mietwesen vom 50.Juni 1972. Mit Beifügung der entsprechenden gesetzlichen Erlasse. (Diss.Universi- tät Zürich). ( Zürcher Beiträge zur Rechtswissenschaft. 495). Zürich,"
MUELLER,RICHARD,12395,A,"Müller  , Rìehar d Müller, Richard. Buchführung und EDV. (Dise. Univ. Zürich) „ Computer und Recht. Band 5. (Zürich), Schulthess Polygraphischer -Verlag (AG, 1977). A	-23cm.219 S. 25443	^ "
MUELLER,RICHARD,91495,A,"Müller,   Richard MUHer, Richard. Die Kantonalbanken in einer veränderten Umwelt. (Wirtschaftatuiletin [derJzüreher Kantonalbank. Nr.13.) ZUrich  1975.	-  21  cm.   25   S. "
MUELLER,ROBERT,91519,A,"Müller,     Robert Müller,   Robert.       Wirtschaftliche Fachausdríicke. [Zurich],   Verlag  des  Schweizerischen Kaufmännischen Ver eins,   (1944).        -18cm.   32 "
MUELLER,ROBERT,97070,A,"Müller , Robert (Müller,Robert), 75 Jahre Gesellschaft für Erstellung billiger Wohnhäuser in Winterthur. Mit 27 Abb. und l Plan. (Winterthur 1951).	(86 S.) G 326	W   (Er. ) "
MUELLER,ROLAND,86242,A,"Müller,     Roland MUller,  Roland.     Die  einvernehmliche Beendigung des Ar- beitsverhälthisses.   {Dis3. Univ. Zürich.   Schriften zum schweizerischen Artoeitsrecht.  Heft  33). Bern:   Verlag Stampili &  Cié AG,   1991.	-23cm. •XXVIII,197 S. "
MUELLER,ROLAND A.,700213,,"l& U l l e r     ,    Roland      A. Too ¿S3 Müller, Roland A.       Die einvernenmliche Beendigung des Artoeitsverhältnieses.  Dass.Univ.Zuriufc. Bern: ,Stämpfli & Cie AG,Graphische0 Unternehmen, 1991. -23cm. XXVIII, 197 S. G Dr, Kühn	.> "
MUELLER,ROLAND,83722,A,"Müller     ,     Roland Müller,  Roland;  Lipp,   Lorenz.       Der Verwaltungsrat.  Bin Handbuch  für   die  Praxis. Zlirich:   Schulthess Polygraphischer Verlag  (AG),   1994. ^^	-23cm.516   S. 32434 "
MUELLER,ROLAND,86575,A,"Müller  ,  Roland Müller, Roland; Rupper, Peter (Hrsger).   Process Re- engineering, Prosease optimieren und auf den Kunden aus- richten. Hrsg.von R'M1 und P'R1. Mit Beiträgen von Guido Bardelli, Freimut Bodendorf ([u.a.]. Im Focus). Zürich: Verlag Indust"
