Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
BIBLIOTHEK,,83779,S,"83*779	/fryc-u Laahi'ea- ('ffB/ Spanik, Christian; Schels, Igne.tz,   Die Trickkiste zu Sxcel 4.0. (2. Auflage. EDV-Berater im dtv. Nr. 52003). (München): dtv Deutscher Taschenbuch Verlag, (1994). -19cm,230 S. "
VD DR. AMSTAD (N),,83780,S,"83*780	VD Dr. Amstad (K) Kolls, Susannej Märten, Rudolf ,   Immobilien als Geld- anlage . Geeignete Objekte» intelligente Finanzierung, (Münefcen): Südwest Verlag (GmbH & Co.KG, 1994). -19cm.186 S. "
CAMPAGNANI (VM),,83781,S,"83*781	Ceunpagnani Benchmarking-Umfrage  Schweiz  1994.  Executive  summary. (Studie  der STG-Coopers & Lybrand Consulting AG,   zu- sammen mit  der  Handels-Zeitung). (Zürich)   1994.	-50cm.21 Bl. "
BIBLIOTHEK,,83782,,"33*782	D Di-i Mai'i- Moll, Karl-Rudolf,  Informatik-Management. Aufgaben- gebiete, Lösungswege, Controlling. Berlin: Springer-Verlag, (1994).      -24cm,XIX,317 S. "
BISSIG (IN),,83783,S,"85'785	Bissig (IN) Software-Markt Schweiz 1994. Eine Untersuchung zur Bach- frage. Durchgeführt vom Institut für Wirtschafteinfor- matik der Universität Bern und der Homina Repräsentanz Schweiz in Basel. Von Yvette Stöckli Lachner, Joachim Griese [und] Gü"
SCHAEFFLER (FI/AS),J.,83784,S,"83'784	Schäffler, J. (FI/AS) Microsoft Project 98. Schritt für Schritt. (Uebertragung ins Deutsche: Peter Baier, Waltraud Kopelent). (Unterschleissheim): Microsoft Press (Deutschland, 1997}. -24cm.390 S "
FRAU VD DR. CASAL (UE),,83785,S,"83*785	Frau VD Dr. Gasal (US) Grundlagen, technische, der Eidgenössischen VersicherungE kasse EVK 1990:  4 #. Bern: Eidgenässische Drucksachen- und Materialzentrale, 1992.	-50cm.IV,[es] Bl. "
SD CONRAD (S),,83786,S,"83*786	SD Conrad (S) Handbuch der schweizerischen Bundesversammlung. Stand am 1. Januar 1993- Bern: Sidgenässische Drucksachen- und Materialzentrale, 1993-	-15em.IX,497 S. "
BRENNER (VR),,83787,S,"83'787	Brenner (VR) Langenscfteidt,   L1 s Handwörterbuch	Italienisch ... Berlin: Laneenacheidt (KG, [ig]9l).	-25cm.558+657 S. "
FRAU PARDI-LUKACS (IK),,83788,S,"83'788	Frau Pardi-Lukacs(IK Bienz, Tim; Gohh, Richard.  Portable doeument format reference manual - Adobe Systems Incorporated. Reading, 1IA: Addison-Wesley Publishing Company, (1993)- -25cm.XIIr 214 P. "
FRAU PARDI-LUKACS (IK),,83789,S,"83*789	Frau Pardi-Lukacs (IK) ISO 8879.   Information processing - Text arid Office Systems - Standard Generalized Markup Language \SGML/. Ist edition. (Geneva): International Organization for Standardization, 1986.	-30cm.XI,155 P- "
