Titel_Autor,Autorenvorname,RASignatur,Beginnt mit,Volltext
GUTTENTAG,IMMANUEL,,A,"Guttentag,   Immanuel Guttentag,I(roraanuel) B.Sammlung,Guttentagsche,Deutscher Reichsgesetze 831. "
GUTTMANN,WALTER,,A,"Guttmann, Walter Guttmann,[Walter], G'e medizinische Terminologie; Ableitung und Erklärung der gebräuchlichsten Fachausdrücke aller Zweige der Medizin und ihrer Hilfswissenschaften. 28.A.v.Walter Marie.     Mit 653 Abb. Berlin:Urban & Schwarzenberg 1937. "
GUTTMANN,WALTER,70125,A,"Guttmann  .Walter Guttmann,[Walter].  G's medizinische Terminologie-  Ableitung und Erklärung der gebräuchlichsten Fachausdrücke aller Zweige der Medizin und ihrer Hilfswiesenschaften. 25.u.26.A.   v.Walter Marie.	Mit 600 Abb. Berlin:Urban & Schwarzenberg"
GUTZ,STEVEN,87723,A,"Gutz  ,  Steven Gutz, Steven.   Up to speed with Swing. User interfaces with Java foundation classes. Greenwich, CT: Manning (Publications Co., 1998). ^      -23cm.XXXVIII,498 p 37468	^ "
GUTZEIT,KURT,,A,"Gutzeit,     Kurt s.   Klinik der Gegenwart   ... "
GUTZWILLER,ADOLF,,A,"Gutzwiller   ,   Adolf a.   Schweizer Pioniere der  Wirtschaft  und  Technik.   Band  17. "
GUTZWILLER,FELIX,,,"Feliz 3.       Sommer,   Jürg H,;   G'ï"",       Wirtschaftlichkeit und Wirksaiakeit  im  schvfeiaerischen  &esund- heitswesen. "
GUTZWILLER,MAC,1008,A,"Gutzwiller  ,  Mai Gutzwiller, Max.   Genoasenschaft, Handelsregister und kaufmännische Buchführung. Zürcher Kommentar, Bd V/6.Teil; l.HDbdi Die Genossenschaft. Art.828-878 OR. Zürich, Schulthess Polygraphischer Verlag, 1972.  -25cm. A	XV,514 S. 12352 Kei"
GUTZWILLER,MAC,97106,A,"Gutzwlller   ,  M a x G-utzwiller.Max.    Der Geltungsbereich der ffährungs Vorschriften, Umrisse  eines  Internationalrechts der Geldverfassungen. Freiburg (Schweiz) :Universitätsbuchh.andliing 1940.   (14,140 S.) 1941,3135.	™        (Professor)         "
GUTZWILLER,MAX,7890/XVIII,A,"Gutzwiller,Max	/ Gutzwiller.Max.  Dor Einfluss Savignys auf die Entwicklung dee Internationalprivatrechts. (Veröffentlichungen der Universität Freiburg (Schweiz), H. F. , Fase. 19). Freiburg (Schweiz) 192?.	(XI,l6Ö S.) 1941,5129.               ™ "
GUTZWILLER,MAX,97105,A,"Gutzwiller , M a x Gutzwiller.Max.  Internationalprivatrecht (Das gesamte deutsche Recht in systematischer Darstellung Stammler. Teil Vili'). Berlin:Stilke [192.].	(14-7 S.) 1941,3142. "
GUTZWILLER,,12467,A,"Gutzwiller Gutzwiller, p[eter] Christoph.. Der Verraögensverwaltungs vertrag.Schweizer Schriften zum Handels- und Wirtschafts rech-t. Band 122. Zürich: Schulthess Polygraphischer Verlag (AG, 1989). A	-23cm.89 S. 286 28                     ^ "
GUTZWILLER,PETER CHRISTOPH,12157,A,"Gutzwiller, Peter  Christoph Gutzwiller ,Peter Christoph. Vertragliche Abreden zur Sicherung des Geldwerts, insbesondere Gleitklauseln. Eine vergleichende Darstellung der Rechtslage in Franke reich, Deutschland und der Schweiz . Schriftenreihe des Institu"
GUTZWILLER,PETER MAX,12050,A,"Gutzwiller, Peter  Max Gutzwiller,Peter Max. Jurisdiktion und Anerkennung aus- ländischer Entscheidungen im schweizerischen internatio- nalen Eheacheidungsrecht. Auf Grundlage der Rechtspre- chung. Ueberlegungen zur Methodik - rechtspolitische Postulate. "
GUTZWILLER,THOMAS,,A,"Grutzwiller     ,     Thomas s.       Anleitung zu einer praiisorinetierten Software- Entwicklungaumgebung.  Hrsger:   Hubert Oesterle, T'G'    ... "
GUY,WILLIAM A,,A,"Guy, William      A Guy.William    A	Public health:  a popular introduc- tion to sanitary science. London:H.Rensìiaw 1874.	(XIV,342 p.) 2187 "
GUYE,C. DE.,82962,A,"G u y e , C. Ed. Guye,C.Ed. Correspondance commerciale française. Edition ¿•.Cours complet. 9., verbesserte Auflage. ZUriGh:Verlag cies Schweizerischen Kaufmännischen Vereins, 1970.	- 22 cm. VIII,242 S. 12359 "
GUYE,C. DE.,82963,A,"G u y e , C . Ed . Guy e , C ,Ed. Correspondance commerciale française. Edition BÍ Cours abrégé, Fünfte, teilweise neu bearbeitete Auflage ZUrichîVerlag des Schweiz,Kaufmännischen Vereins,1969. - 21 cm. VIII,181 S. 12359 "
GUYE,C. DE.,82648,A,"G u y e , C. Ed.	/^ ¿ ¿ Guy e , C .Bd. Correspondance commerciale française. Edition A: Cours complet. Achte, teilweise neu bearbeitete Auf- lage. Zürich:Schweiz.Kaufm.Verein,1966. -8°, VIII,242 5. 10442 "
GUYE,C. DE.,82396,A,"G u y e, C. Ed. Guye,C.Ed. Correspondance commerciale française. Edition B: Cours abrégé. 4., teilweise neu bearbeitete Auflage. Zürich: Schweiz.Kaufmännischer Verein, 1966 (VIII,182 S.) 8344 "
GUYER,E,6152,A,"G u y e r , E Guyer,E         Kommentar zum schweizer. Buadesgesetz über den Versicherungsvertrag vom 2.April 1908. Zürich:C.Wettstein 1910.	(XVI.284 S.) •	A (Dr.,Rechtsanwalt) "
GUYER,J,,A,"G u y e r , 2 Guyer.J       Tagee-Zinstabellen (für beliebige Beträge und jedes 100-teilige Müßzeystem) 4 3/4# - 360 Tage. Zürich:Guyer-Wegmann [1899]- "
GUYER,J,3396,A,"Guyer Guyer.J	Tagee-Zinetabellen für 1-360 Tage,   Jedes Kapital und jedes 100-teilige Münzsystem. Ausgabe B:   360 Tageefollo à 8 Zinsfuss-Sätze,   der Zinsfüsse 3 1/4  - 996. Zürich:J.Guyer o.J. "
GUYER,PAUL,98186,A,"G u y e r  ,  Paul Guyer,   Paul.       Die  Geschichte  der Enge. (Zürich), Grell FUssli Verlag, (i960).   -25cm.216 S.ill 19141 "
